ID,PAPER_TYPE,CHEMICAL,CHEMICAL_FAMILY,NAME,ASSAY_ENDPOINT_DESCRIPTION,ASSAY_COMPONENT_NAME,ASSAY_COMPONENT_DESCRIPTION,DESCRIPTION,SEQAPASS,GENE_SYMBOL,GENE_URL,GENE_NAME,AOP,EVENT,HIT_CALL,CONTINUOUS_HIT_CALL,TOP,SCALED_TOP,AC50,LOGAC50,CUTOFF,ACC,AC10,BMR,BMD,BMAD,MAX_MED_CONC,NORMALIZED_DATA_TYPE,ASSAY_SOURCE,ASSAY_NAME,ASSAY_DESC,ASSAY_FUNCTION_TYPE,FLAGS,STOCK_CONC,STOCK_CONC_UNITS,ORGANISM,CELL_LINE,CELL_FORMAT,CONCENTRATION,RESPONSE,CYTOTOX_BURST,INTENDED_TARGET_FAMILY,INTENDED_TARGET_TYPE,INTENDED_TARGET_TYPE_SUB,INTENDED_TARGET_FAMILY_SUB,BIOLOGICAL_PROCESS_TARGET,DETECTION_TECHNOLOGY_TYPE,TISSUE,SAMPLE_ID,REPR,DOI,TOXICITY_DOMAIN,REFERENCE,URL_COMPTOX
11,Lit_review,Deltamethrin,Pyrethroid,Changes in sodium current parameters in mammalian neuronal membrane,"Changes in sodium channel gating, amplitude and kinetics in response to deltamethrin in mouse neuroblastoma cells (N1E-115) using voltage clamp",-,-,-,-,-,-,-,Voltage-gated sodium channel modulation,"
Increased sodium current amplitude, slowed decay during depolarization, pronounced slow tail sodium current",Active,-,-,-,-,-,-,-,-,-,-,-,100 μM ,-,-,Voltage clamp sodium current assay,"Measurement of sodium currents in N1E-115 neuroblastoma cells after deltamethrin exposure, including peak, decay, tail current, and voltage dependency",Electrophysiological functional assay ,-,-,-,mice,N1E-115,cell line , 100 μM ,"Marked slowing of sodium current decay, very large and slowly decaying sodium tail current after repolarization, increased sodium influx, no effect on inactivation or recovery from inactivation",-,Voltage-gated sodium channels (Nav),Ion channel protein,-,-,"Neuronal excitability, action potential generation",Whole-cell voltage clamp electrophysiology,brain ,-,-,https://doi.org/10.1016/0006-8993(87)91645-3,-,-,-
12,Lit_review,Deltamethrin,Pyrethroid,Yeast survival rate and frequency of ρ-mutation,Yeast survival rate and frequency of ρ-mutation (mitochondrial DNA deletion mutants) after deltamethrin exposure,-,-,-,-,-,-,-,oxidative stress leading to mitochondrial DNA mutation,Reduced yeast cell survival; increased ρ-mutation frequency,Active,-,-,-,"
~20 μg·cm⁻³ for 50% cell death at logarithmic growth; ~80 μg·cm⁻³ for stationary phase",-,-,-,-,-,-,-,60 μg·cm⁻³ for log phase (0% survival at ≥40 μg·cm⁻³); 200 μg·cm⁻³ for stationary phase (0% survival at ≥140 μg·cm⁻³),-,-,Yeast survival and petite (ρ-) mutant frequency assay,"Yeast cultures exposed to deltamethrin at various concentrations; survival assessed by colony formation, ρ-mutation by inability to grow on non-fermentable carbon sources",Cytotoxicity and mitochondrial mutagenicity ,-,-,-,"
Saccharomyces cerevisiae (yeast)",SP4 – Mat alpha leu1 arg4 (wild-type laboratory yeast strain),cell culture,"0, 5, 10, 15, 20, 25, 30, 40, 50, 60 μg·cm⁻³ for log phase. Up to 200 μg·cm⁻³ for stationary phase","Deltamethrin most toxic: causes rapid drop in survival and dramatic increase in ρ-mutants at low concentrations. At 20 μg/cm³, 50% loss of viability in log phase, 38% ρ-mutants among survivors.",-,Mitochondria,Organelle; mitochondrial DNA,"
mtDNA mutation (ρ-mutation/petite mutation)",-,Mitochondrial DNA maintenance; cell survival; oxidative phosphorylation,"Colony formation assay, phenotypic screen for petites (growth on non-fermentable media)",Whole yeast cell,-,-,"https://www.pjoes.com/The-Influence-of-Selected-Pyrethroid-on-the-Growth-r-nand-Number-of-Mutants-in-Saccharomyces,88002,0,2.html",-,-,-
13,Lit_review,Deltamethrin,Pyrethroid,"Cell proliferation, cellular uptake and localization of deltamethrin in animal fibroblasts and plant (algal) cells","Inhibition of cell proliferation, cellular uptake and localization of deltamethrin in animal fibroblasts and plant (algal) cells; flow cytometric analysis of cell cycle",-,-,-,-,-,-,-,-,-,Active,-,-,-,-,-,-,-,-,-,-,-,"
5 × 10⁻⁴ M (pure deltamethrin for fibroblasts and algae); higher than environmental, near saturation",-,-,Cell proliferation inhibition and cellular uptake assays; autoradiography for localization; flow cytometry for cell cycle analysis,Cell numbers counted after exposure; [³H]deltamethrin uptake measured by scintillation; autoradiograms for subcellular localization; cell cycle phases by flow cytometry,"Cytotoxicity, cell binding, and cell cycle analysis assays",-,-,-,"Animal: mice; Plant: Dunaliella bioculata (marine microalga), Chlamydomonas reinhardii (green algae)","Mouse fibroblast NCTC clone L 929; D. bioculata, C. reinhardii (lab strains)",cell culture,"pure deltamethrin: 5 × 10⁻⁵ M to 5 × 10⁻⁴ M; DECIS EC (commercial formulation): 9 × 10⁻⁷ M and above; DECIS FLO (commercial formulation): up to 2 × 10⁻⁴ M (algae), 5 × 10⁻⁴ M (fibroblasts)","Pure deltamethrin slowed fibroblast growth, not algal; commercial formulations more cytotoxic (cell death at lower concentrations)",-,-,-,-,-,"Cell proliferation, cellular uptake/retention, cell cycle","Cell counts, flow cytometry, liquid scintillation counting, autoradiography",fibroblasts; unicellular algae,-,-,https://doi.org/10.1016/0048-3575(87)90118-0,-,-,-
14,Lit_review,Deltamethrin,Pyrethroid,Modulation of voltage-gated Na+ channels,"Modulation of voltage-gated Na+ channels (after-potential amplitude, depolarization, and Na+ influx) in insect axons and mammalian neuronal cells",-,-,-,-,-,-,-,-,"Increased after-potential amplitude, slow depolarization leading to inexcitability in neurons, massive Na+ influx",Active,-,-,-,-,-,-,-,-,-,-,-,100 μM in mouse neuroblastoma Na+ uptake; up to 5 μM for axonal depolarization,-,-,"Electrophysiological measurement (action and after-potential in axons), 22Na+ uptake assay in cultured neuronal cells","
For axons: Resting/action potential and after-potential changes in insect nerve cord. For neuroblastoma: 22Na+ uptake reflecting channel opening",Functional (electrophysiology and radiotracer uptake for channel activity/gating),-,1 for electrophysiology; 10 for uptake assays,mM,insect; mice,Axons (isolated nerve cord prep); N1E-115,-,Axons: 0.5–5 μM (electrophysiology); Neuroblastoma: 0.5–100 μM for Na+ uptake,"In axons: rapid increase in after-potential, then slow depolarization and decreased action potential amplitude. In N1E-115: strong, concentration-dependent increase in Na+ uptake (max 22 nmol/min/mg at 100 μM)",-,Voltage-gated sodium channels (NaV),-,-,Channel gating,"Neuronal excitability, action potential generation/propagation, sodium electrochemical gradient","Intracellular electrode recording, radiotracer (22Na+) uptake measurement",brain ,-,-,https://doi.org/10.1016/0048-3575(85)90141-5,-,-,-
15,Lit_review,Deltamethrin,Pyrethroid,Neurotrophic effects on cultured rat cortical neurons,"
Neurotrophic effects of deltamethrin (DM) on cultured rat cortical neurons measured by cell survival (MTT assay), neurite complexity and length, Bdnf mRNA expression, and promoter activation.",-,-,-,-,Bdnf ,https://www.ncbi.nlm.nih.gov/gene/24225,Brain-derived neurotrophic factor,"Deltamethrin modulates voltage-sensitive sodium channels → membrane depolarization → increased Ca2+ influx via L-type voltage-dependent calcium channels (L-VDCC) → activation of Ca2+-responsive elements in Bdnf promoter → increased Bdnf expression → neurotrophic effects (neurite outgrowth, survival)",Increased neuronal survival; enhanced neurite outgrowth and complexity; elevated Bdnf mRNA expression and promoter IV activity via Ca2+-mediated signaling,Active,-,-,-,-,-,-,-,-,-,-,-,10 mM,-,-,"
Neurotrophic and transcriptional activation assays in rat cortical neuron primary culture","
MTT assay for cell viability; immunostaining and GFP reporter for neurite analysis; qRT-PCR for Bdnf mRNA; luciferase reporter assay for Bdnf promoter activation; Ca2+ imaging","Functional cellular assays including viability, morphology, gene expression, promoter activity, and intracellular Ca2+ dynamics",-,-,-,rat,Primary cortical neurons,cell culture,"0.1, 1, 10 mM deltamethrin used for survival; 1 mM primarily for neurite outgrowth and gene expression assays",Increased cell survival at 0.1 and 1 mM; no increase at 10 mM. Increased neurite complexity and length at 1 mM. Bdnf mRNA expression increased ~150x at 1 mM. Elevated intracellular Ca2+ and Bdnf promoter IV activity were observed.,-,Voltage-sensitive sodium channels (VSSC) ,-,-,-,"Neuronal survival, neurite growth, Bdnf gene transcription, intracellular calcium signaling","MTT viability assay; fluorescence microscopy (GFP, immunostaining); qRT-PCR; dual-luciferase reporter assay; fluorescence Ca2+ imaging",brain ,-,-,10.1016/j.neuropharm.2011.10.023,-,-,-
16,Lit_review,Deltamethrin,Pyrethroid,Stimulation of intracellular sodium (Na+) influx in primary cultures of cerebrocortical neurons ,Concentration-dependent stimulation of intracellular sodium (Na+) influx in primary cultures of cerebrocortical neurons by deltamethrin and other pyrethroids,-,-,-,-,-,-,-,Deltamethrin binds to voltage-gated sodium channels → shifts activation and slows inactivation → sustained increase of intracellular Na+ → neuronal excitability disturbance,Increased TTX-sensitive sodium influx in neurons observed as increased SBFI fluorescence,Active,-,-,-,-,-,-,-,-,-,-,-,30 μM,-,-,Sodium influx assay using sodium-binding fluorescent dye SBFI,"
Measurement of intracellular sodium concentration changes in mouse primary cerebrocortical neurons loaded with SBFI dye after pyrethroid exposure",Functional live-cell assay for ion channel activity,-,100,mM,mice,Primary cerebrocortical neuron culture,cell culture,0.03 nM to 30 μM,Concentration-dependent increase in Na+ influx; maximal ~27% elevation relative to control; blocked by TTX indicating VGSC mediation,-,Voltage-gated sodium channels (VGSCs),-,-,-,Neuronal excitability via modulation of Na+ channel gating,Fluorescence,brain ,-,-,https://doi.org/10.1289/ehp.1003394,-,-,-
17,Lit_review,Deltamethrin,Pyrethroid,"Gene expression of BDNF mRNA and protein levels in cultured rat cortical neurons and rat brain, neurite complexity and survival effects","Activity-dependent gene expression of brain-derived neurotrophic factor (BDNF) mRNA and protein levels in cultured rat cortical neurons and rat brain, neurite complexity and survival effects",-,-,-,-,Bdnf ,https://www.ncbi.nlm.nih.gov/gene/24225,Brain-derived neurotrophic factor,Deltamethrin prolongs opening of voltage-sensitive sodium channels → membrane depolarization → Ca2+ influx primarily via L-type voltage-dependent calcium channels (L-VDCC) → activation of ERK/MAPK signaling → increased transcription and expression of BDNF → neurotrophic effects on neurons,"
Increased BDNF exon III–V mRNA and protein expression; enhanced neurite complexity and length; increased neuronal survival from low micromolar concentrations",Active,-,-,-,-,-,-,-,-,-,-,-,10 μM,-,-,"qRT-PCR, ELISA, neurite morphology assays, promoter-luciferase assays, immunoblotting for ERK phosphorylation","
Measurement of BDNF mRNA by qRT-PCR, protein by ELISA; neurite complexity by GFP immunostaining; luciferase reporter for BDNF promoter activity; ERK1/2 phosphorylation by immunoblot","
Molecular and cellular functional assays",-,-,-,rat,Primary rat cortical neurons,cell culture,"10 nM to 10 μM, mainly 1 μM for optimal effects",Up to ~150-fold increase in BDNF mRNA (exon III–V); sustained for 72 h; increased BDNF protein; increased neurite complexity and length; increased neuronal survival; effects inhibited by TTX and Ca2+ channel blockers,-,"
Voltage-sensitive sodium channels (VSSC), L-type voltage-dependent calcium channels, MAPK signaling components","Ion channels (VSSC, L-VDCC), intracellular signaling kinases (ERK/MAPK), transcriptional regulation machinery",-,-,"
Neuronal activity, gene transcription, neuronal survival, neurite outgrowth","qRT-PCR, ELISA, fluorescence microscopy (GFP, immunostaining), luciferase reporter assay, immunoblotting, MTT cell viability assay",brain ,-,-,10.1124/jpet.105.092478,-,-,-
18,Lit_review,Deltamethrin,Pyrethroid,Induction of Bdnf exon IV-IX mRNA expression and morphological changes in cultured rat cortical neurons,Induction of brain-derived neurotrophic factor (Bdnf) exon IV-IX mRNA expression and morphological changes (neurite complexity and length) in cultured rat cortical neurons by deltamethrin and its derivatives,-,-,-,-,Bdnf ,https://www.ncbi.nlm.nih.gov/gene/24225,Brain-derived neurotrophic factor,Deltamethrin and derivatives modulate neuronal voltage-sensitive sodium channels → neuronal depolarization → Ca2+ influx via L-type Ca2+ channels → ERK/MAPK pathway activation → increased Bdnf transcription and mRNA expression → neurite outgrowth and complexity increase,Concentration-dependent increases in Bdnf eIV-IX mRNA expression; increased neurite complexity and length,Active,-,-,-,-,-,-,-,-,-,-,-,100 μM for derivatives; 1 μM for deltamethrin,-,-,"
Real-time quantitative RT-PCR for Bdnf mRNA; GFP reporter for neurite morphology",Measurement of Bdnf eIV-IX mRNA induction by qRT-PCR in cultured neurons; imaging of GFP-labeled neurons for morphological analysis,Molecular gene expression and cellular morphology functional assays,-,-,-,rat,Primary rat cortical neurons,cell culture,"
Deltamethrin: 1 nM to 100 μM (1 μM optimal); derivative 2a: 1 to 100 μM (10 μM optimal)",Deltamethrin caused up to ~10-fold higher Bdnf mRNA induction compared to derivative 2a; both increased neurite complexity and length similarly,-,Voltage-sensitive sodium channels leading to Ca2+ signaling,"Ion channels (VSSC), L-type calcium channels, ERK/MAPK signaling proteins",-,-,"Neuronal gene expression, neurite growth, neuronal plasticity","Real-time RT-PCR, fluorescence microscopy for GFP, neurite tracing",brain ,-,-,10.1016/j.bmc.2012.02.048,-,-,-
19,Lit_review,Deltamethrin,Pyrethroid,"ROS generation and cytotoxicity in human neuronal SH-SY5Y cells, and modulation by alpha-2-macroglobulin (α2M)","Assessment of pesticide (including deltamethrin)-induced reactive oxygen species (ROS) generation and cytotoxicity in human neuronal SH-SY5Y cells, and modulation by alpha-2-macroglobulin (α2M)",-,-,-,-,-,-,-,Deltamethrin exposure → increased ROS production → oxidative stress → neuronal cell injury and decreased viability → possible neurotoxicity,"Increased ROS levels, increased malondialdehyde (MDA) as lipid peroxidation marker, reduced antioxidant enzyme activities (SOD, GPx), decreased cell viability",Active,-,-,-,-,-,-,-,-,-,-,-, 5 μM,-,-,"MTT assay for cell viability; DCFH-DA fluorescence assay for ROS; TBARS assay for MDA; enzymatic assays for antioxidant enzymes (SOD, GPx)","Functional assays measuring cell viability, oxidative stress markers and antioxidant enzyme activity in human neuronal SH-SY5Y cell line",Cell-based cytotoxicity and oxidative stress functional assays,-,-,-,human ,SH-SY5Y ,cell line ,5 μM x 3 h (ROS) and x 6 h (viability),"Significant induction of ROS, increased MDA levels, reduced cell viability, and decreased activities of antioxidant enzymes; protection by α2M observed",-,-,-,-,-,"ROS generation, oxidative stress, antioxidant defense enzymes activity, cell viability","Colorimetric MTT assay, fluorometric DCFH-DA assay, absorbance-based TBARS assay, enzyme activity assays",brain ,-,-,10.15419/bmrat.v10i2.792,-,-,-
20,Lit_review,Deltamethrin,Pyrethroid,"Effects on motility, viability, and morphology of rat sperm","In vitro assessment of deltamethrin’s effects on rat sperm parameters (motility, viability, morphology), oxidative stress markers and antioxidant enzymes. Deltamethrin tested at multiple concentrations for 3-hour exposure on rat spermatozoa",-,-,-,-,-,-,-,"Deltamethrin exposure → induction of oxidative stress (lipid peroxidation) in sperm cells → altered antioxidant enzyme activities (SOD, CAT) → decreased sperm motility, viability and increased abnormalities",Significant decreases in sperm motility and viability; increase in abnormal sperm morphology; increased malondialdehyde (MDA) levels indicating lipid peroxidation; increased SOD and catalase enzyme activities,Active,-,-,-,-,-,-,-,-,-,-,-,200 μM,-,-,"Sperm motility, viability and morphology assessment; biochemical assays for lipid peroxidation and antioxidant enzymes (SOD, CAT)",,Evaluation of motility and viability by microscopic and staining methods; lipid peroxidation measured by malondialdehyde (MDA) quantification; antioxidant enzyme activities measured spectrophotometrically,-,-,-,rat,spermatozoa,"
Sperm suspensions","0, 10, 50, 100, 200 μM x 3h",Dose-dependent decline in sperm motility and viability; increased abnormal sperm morphology; elevated MDA levels; increased SOD and catalase activities,-,-,-,-,-,"Reproductive function via sperm motility, viability, morphology; oxidative stress response","Microscopy, staining, spectrophotometry (MDA assay, enzyme activity assays)",sperm,-,-,10.1111/j.1439-0272.2009.00986.x,-,-,-
21,Lit_review,Deltamethrin,Pyrethroid,"Oxidative stress induction, antioxidant defense modulation, and cytotoxicity in human endothelial cells","Assessment of oxidative stress induction, antioxidant defense modulation, and cytotoxicity in human endothelial cells (HUVEC) exposed to deltamethrin and other pesticides individually and in mixture",-,-,-,-,-,-,-,"Deltamethrin exposure leads to increased reactive oxygen species (ROS), decreased total antioxidant capacity (TAS), increased total oxidant status (TOS), depletion of glutathione (GSH), resulting in oxidative stress and cytotoxicity in endothelial cells","
Reduced cell viability (dose-dependent), increased ROS production, decreased antioxidant defense (TAS, GSH), increased oxidative damage markers (TOS)",Active,-,-,-,8.567 μM,-,-,-,-,-,-,-,200 μM ,-,-,"MTT cell viability assay; spectrophotometric measurement of oxidative stress markers (LDH, TAS, TOS); glutathione assay","Viability assessed by MTT; oxidative stress markers including lactate dehydrogenase activity (LDH), total antioxidant status (TAS), total oxidant status (TOS), and glutathione (GSH) evaluated in HUVEC cells",Cell viability and antioxidant capacity,-,-,-,human ,HUVEC,cell line ,"2.5, 5, 10, and 20 μM for viability; 25, 50, 100, 200 μM for oxidative stress markers",Dose-dependent decrease in viability; decrease in TAS and GSH; increase in TOS and LDH; significant oxidative stress induced by deltamethrin,-,-,-,-,-,"Cellular oxidative stress, antioxidant defense, cytotoxicity","MTT assay (colorimetric), spectrophotometry for enzymatic and oxidative stress assays",endothelium,-,-,10.26650/IstanbulJPharm.2021.881724,-,-,-
22,Lit_review,Deltamethrin,Pyrethroid,Behavioral toxicity assessment and gene expression analysis of voltage-gated calcium channel α1 subunits in Caenorhabditis elegans,"
Behavioral toxicity assessment and gene expression analysis of voltage-gated calcium channel (VGCC) α1 subunits (egl-19, unc-2, cca-1) in Caenorhabditis elegans exposed to deltamethrin",-,-,-,-,"egl-19, unc-2, cca-1",-,α1 subunits of voltage-gated calcium channels,"Deltamethrin exposure → altered expression of α1 subunits of VGCC → impaired locomotion, egg-laying, and foraging behavior in C. elegans","
Concentration-dependent decrease in locomotion (thrashing and body bend frequency), egg laying, and foraging; differential VGCC gene expression changes",Active,-,-,-,55.8 mg/L,-,-,-,-,-,-,-,400 mg/L,-,-,"Behavioral assays (thrashing, body bends, egg-laying, foraging) and RT-PCR gene expression assay","
Quantification of locomotion behavior, egg laying, foraging capability, and measurement of mRNA levels of VGCC α1 subunits via qRT-PCR in nematodes",Behavioral phenotyping and molecular gene expression analysis,-,-,-,C. elegans,-,whole body ,Tested range for toxicity 5–400 mg/L; sub-lethal doses 0.05–50 mg/L for gene expression and behavioral assays,Significant dose-dependent lethality; reduced thrashing and body bend frequency; decreased egg laying and foraging; differential up- and down-regulation of VGCC α1 subunit genes,-,-,-,-,-,"Neuromuscular function, egg-laying behavior, foraging behavior","
Behavioral assays (microscopy observation and counting); quantitative reverse transcription PCR (qRT-PCR)",whole nematode,-,-,10.1016/j.pestbp.2017.03.005,-,-,-
23,Lit_review,Deltamethrin,Pyrethroid,Developmental toxicity assessment in Caenorhabditis elegans,Developmental toxicity assessment of high-dose deltamethrin in Caenorhabditis elegans via ER unfolded protein response (UPRER) pathway analysis,-,-,-,-,"
ire-1, xbp-1, hsp-4, crt-1, T14G8.3, pek-1, atf-6",-,Genes involved in unfolded protein response endoplasmic reticulum (UPRER) pathway,"
High-dose deltamethrin exposure → developmental delay and toxicity → reduced activation of UPRER → downregulation of UPRER-related genes via IRE-1/XBP-1 pathway","Developmental retardation, reduced nematode size, prolonged egg-laying onset, reduced lifespan, decreased UPRER activation, altered gene expression of ER stress markers",Active,-,-,-,-,-,-,-,-,-,-,-,80 mg/L,-,-,"Developmental growth assays, lifespan and behavior assays, UPRER fluorescence reporter assay (hsp-4p::GFP), quantitative RT-PCR for ER stress genes","Measurement of body size, developmental stage distribution, lifespan, locomotion behaviors, fluorescent imaging of ER stress reporter, and expression of unfolded protein response genes",In vivo whole organism developmental and molecular toxicity assays,-,-,-,C. elegans,-,whole body ,"0, 5, 10, 20, 40, 80 mg/L; 40 mg/L for molecular assays","Developmental delay, growth retardation, reduced egg laying, decreased lifespan and locomotion, reduced UPRER activation, decreased transcript levels of ire-1 and other UPRER genes",-,Endoplasmic reticulum stress pathway proteins,Proteins/genes in UPRER pathway,IRE-1-mediated signaling components,UPRER gene regulatory network,"ER stress response, development, lifespan regulation","Fluorescent protein reporter assay, microscopy, quantitative RT-PCR",whole nematode,-,-,10.3390/molecules28176303,-,-,-
24,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,IC25,-,-,-,-,-,-,-,-,-,IC25 (nM)=5840,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,IC25 (nM)=5840,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
25,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Antagonist,RIC20,-,-,-,-,-,-,-,-,-,RIC20 (nM)=13.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Antagonist,-,-,-,-,-,-,-,-,-,RIC20 (nM)=13.2,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
26,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
27,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
28,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
29,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
30,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Du et al. 2010; 20410157; 10.1093/toxsci/kfq120,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
31,ICE,Deltamethrin,Pyrethroid,AR Transactivation-Agonist,Transcriptional change,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AR Transactivation-Agonist,-,-,-,-,-,-,-,-,-,Negative,-,-,-,-,-,-,-,-,-,-,https://doi.org/10.22427/NTP-DATA-DTXSID8020381,-,Kleinstreuer et al. 2016; 27933809; 10.1021/acs.chemrestox.6b00347|Andersen et al. 2002; 11884232; 10.1006/taap.2001.9347,https://comptox.epa.gov/dashboard/chemical/details/DTXSID8020381
